arm,seed,checkpoint_step,checkpoint_path,checkpoint_sha256,evaluation_path,evaluation_sha256,slurm_job_id,git_commit
dense,64,3250,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_64/model/checkpoint.pt,3edced0d839db854207d78d2022bd3b4a41dfda6d0a5864e1679eb8d8e13c787,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_64/fresh_validation_evaluation.json,d666d9e306480be57a7ff7934b579c24762640be6d960336429c9f5a2e3d901d,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,65,3499,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_65/model/checkpoint.pt,ddfec80bf2fbd778f5efe2e23cbcf399b6192522d9581753e76da82f41009adb,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_65/fresh_validation_evaluation.json,869c463f1d36601ad57c9dd96ee86eacc1b936660795289dcdb2a540ad9599c9,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,66,3499,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_66/model/checkpoint.pt,66bda0aac07da28ffe20d3ca1b7a32ef40ed406b547a9dc607d3a92822686b0e,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_66/fresh_validation_evaluation.json,94ccead542f3dda70fcd6ba62d56b9dcc8a0fb7c53e1940118c7435e41db2ceb,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,67,3250,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_67/model/checkpoint.pt,0b2ac5520f0fd834af1457898944f168fb101467c23b65d7077b8d0371eaf3f9,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_67/fresh_validation_evaluation.json,c450e31fdec44eb3772649ad7d987de005d11ea3c7407302a51715b00e06bd52,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,68,3499,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_68/model/checkpoint.pt,4bdf8224c1f3670b3ceb84f970fa07644575dd099df11efabc65a871885f22e6,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_68/fresh_validation_evaluation.json,88a4700f3e07be9267d321496cade1e446a7949164f7a138f66cb7d2b0a1f5a5,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,69,3000,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_69/model/checkpoint.pt,c9cdf5398b0a5905d9682b9fcb7b200a0e8dd28c633c06c994ea3164c7d1c052,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_69/fresh_validation_evaluation.json,4b095d850a1c920a5f3e5fb2c9410944a192378b39aa9346fdca08093296cd80,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,70,3000,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_70/model/checkpoint.pt,053b824017e8b128565dd65694569d8ba7d55a3a3fc4a7c2cc43a4b9f0d223f1,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_70/fresh_validation_evaluation.json,14e52f187c782e2b34344fcc3ed9fa2b1004ecad752483a22d7f7596aa854f9f,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,71,3499,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_71/model/checkpoint.pt,2c93a69ee4eeaf76bde09ff7e86fa7fcb6b89849e3046c1316138ef50b4cf95a,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_71/fresh_validation_evaluation.json,5df427894365b638befcb356751f66c1b8346fbbf93b6604e98d2aee008b3b0a,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,72,3000,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_72/model/checkpoint.pt,a2105494c0f09d88ede30976dec84a6231c517738598bcefec32f08677f78c88,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_72/fresh_validation_evaluation.json,a0e7ecad8884e9257ae6ab8e92111d955c9eceaf79afbb955acd4c95731a2f30,10157457,376de761431fe85f37f003ae878ba6efea8afb96
dense,73,3250,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_73/model/checkpoint.pt,ad237268f1a69d4f0ce1eb15db5b9def1c28a50d6a5ee0aed1f5b5d377e2e867,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/dense/seed_73/fresh_validation_evaluation.json,5d45a9af0ce7a32b39045a3deb72f889152859015f135ccd9c82277e06f574f3,10157457,376de761431fe85f37f003ae878ba6efea8afb96
sparse,64,3250,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_64/model/checkpoint.pt,1fcb7791f12e9e3dda8d0655f3492afc74cb33477c33e91f7214c77a6b877bd5,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_64/fresh_validation_evaluation.json,2b76eb9d481d561d64d105ae3517dfe7a624e187245833ac96c2c58712297456,10157457,376de761431fe85f37f003ae878ba6efea8afb96
sparse,65,3499,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_65/model/checkpoint.pt,6ee16c55cb2d24a6d3058a9d9015b42f0e2cc75a5eaf813b7d74a16e5b80e095,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_65/fresh_validation_evaluation.json,78e33e45d8d46872a745258c4172195437fcf9115f2372728ebda6315b39525c,10157457,376de761431fe85f37f003ae878ba6efea8afb96
sparse,66,3499,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_66/model/checkpoint.pt,6157a46dbaff057f6e76aa6bda722457546b6acb7288f978a084919717ad4a23,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_66/fresh_validation_evaluation.json,d3892cd8d3575ed5cf9dd016e057e0fc8d227c0e1f5bbcca8d0600ade767cb43,10157457,376de761431fe85f37f003ae878ba6efea8afb96
sparse,67,2000,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_67/model/checkpoint.pt,e983bc24bbf56e826c553179ef2c7ce43b1a05aed630938c9b201241155d250e,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_67/fresh_validation_evaluation.json,ec659209cd7f75f102b22d6702fb5d828d0f5a01b81cff05ec8445628f0d2612,10157457,376de761431fe85f37f003ae878ba6efea8afb96
sparse,68,3499,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_68/model/checkpoint.pt,27d1ecfc19b895eca7272f9335282b5a4a6dfb7a0fd420b69e8b93605efaac81,/network/scratch/l/lia/skae/allen_cahn_rebuttal_v2_20260719/global_confirmation/signed/seed_68/fresh_validation_evaluation.json,064dfc12aea237a5e74d7b5a99e605e5039bfb0ac4b44a5655fa29a3e9b59054,10157457,376de761431fe85f37f003ae878ba6efea8afb96
